,id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,review_per_month
583,17463797,Andrew Sq Teal Room Close to T & Shops,Dorchester,42.32446,-71.05814,Private room,184.68,91,0,NA,1.79,8,0,0,NA,1.79
584,17523133,"Entire floor, private bath, 2 mins walk to subway",Dorchester,42.28499,-71.06211,Private room,117.0,2,376,2024-10-24,3.97,1,145,44,STR-536324,3.97
585,17523630,Private & serene getaway in beautiful JP,Jamaica Plain,42.31299,-71.11876,Entire home/apt,186.0,3,280,2024-12-10,2.96,1,334,33,STR-446068,2.96
586,17529340,S End/B Bay border! Copley Location- Perfect 1 Br,South End,42.34566,-71.07433,Entire home/apt,319.0,3,280,2024-11-17,2.97,1,93,24,STR-390973,2.97
587,17541222,Room for up to 4 in Updated 1 BR apt by T!,Roxbury,42.32852,-71.09581,Entire home/apt,153.0,91,159,2019-12-09,1.68,5,267,0,NA,1.68
588,17559493,"NEW 2nd Floor, 2BR Downtown Boston",Chinatown,42.34903,-71.062,Entire home/apt,260.0,3,302,2024-11-26,3.2,4,229,37,STR-414537,3.2
589,17559756,"NEW 3rd Floor, 2BR Downtown Boston",Chinatown,42.3503,-71.06037,Entire home/apt,222.0,3,266,2024-11-24,2.82,4,153,50,STR-414541,2.82
590,17559846,NEW B 1BR Downtown Boston,Chinatown,42.34835,-71.06039,Entire home/apt,145.0,29,217,2024-10-29,2.3,4,365,3,NA,2.3
591,17567087,Charming South End Duplex (Pets Ok),South End,42.34351,-71.06889,Entire home/apt,350.0,2,362,2024-12-15,3.83,2,158,46,STR-479374,3.83
592,17573922,"NEW 1st Floor, 1BR Downtown Boston",Chinatown,42.34986,-71.06197,Entire home/apt,180.0,29,150,2024-09-18,1.59,4,365,2,NA,1.59
593,17588460,Fenway/Back Bay Luxury Apt-,Fenway,42.34651,-71.08957,Entire home/apt,129.0,91,3,2017-09-01,0.03,13,364,0,NA,0.03
594,17609053,⍟ Lofty South End Penthouse w/Street Parking! ⍟,South End,42.33944,-71.07532,Entire home/apt,255.0,29,31,2023-04-19,0.34,2,28,0,STR-453957,0.34
595,17616603,Charming South-End condo with large outdoor patio,South End,42.33959,-71.08015,Entire home/apt,247.0,1,342,2024-12-01,3.64,1,284,44,STR-397947,3.64
596,17617918,Back Bay One Bedroom - Best Neighborhood in Boston,Fenway,42.3461,-71.0877,Entire home/apt,160.0,32,1,2017-06-19,0.01,47,298,0,NA,0.01
597,17676984,Private room-10 min to downtown15 min to Cambridge,Charlestown,42.38376,-71.07707,Private room,82.0,1,5,2017-09-02,0.05,12,73,0,STR-383106,0.05
598,17701434,"Sleek, Stylish Place | near South End",Roxbury,42.3295,-71.08817,Entire home/apt,149.0,10,91,2024-10-16,0.97,7,263,2,Exempt: This listing is a unit used for furnished institutional or business stays,0.97
599,17704067,Great Location for your stay!,Dorchester,42.30656,-71.07173,Private room,40.0,30,18,2024-11-19,0.2,27,202,5,NA,0.2
600,17779084,Huge rm Renovated Clean Subway Safe neighborhood,Roxbury,42.31333,-71.09339,Private room,39.0,91,0,NA,1.79,31,365,0,NA,1.79
601,17791011,Back Bay Cozy Studio In Brownstone first floor,Back Bay,42.3512284185588,-71.08858946710825,Entire home/apt,102.0,1,212,2024-12-18,7.1,2,108,74,Exempt: This listing is a unit that has contracts with hospitals,7.1
602,17806747,Brand New North End Luxurious One Bedroom Condo up,North End,42.36393,-71.05223,Entire home/apt,130.0,91,15,2022-02-28,0.16,2,110,0,NA,0.16
603,17807912,"Apartment in Jamaica Plain, Boston",Jamaica Plain,42.29973,-71.11618,Entire home/apt,82.0,91,22,2018-09-02,0.24,1,90,0,NA,0.24
604,17849739,Suitable & Convenient Private Bedroom Near T!,Dorchester,42.28964,-71.06607,Private room,45.0,30,12,2024-10-01,0.15,27,189,2,NA,0.15
605,17907229,Great 3 Bdr apartment with Airbeds!,Dorchester,42.30133,-71.0648,Entire home/apt,130.0,30,1,2024-07-31,0.21,27,364,1,NA,0.21
606,17927755,Master Bedroom/Private Bathroom/Mission Hill/JP,Mission Hill,42.32938,-71.11024,Private room,69.0,29,81,2024-11-24,0.86,1,333,3,NA,0.86
607,17942707,Newly Renovated 1 BR close to T & Longwood Med!,Roxbury,42.32807,-71.09557,Entire home/apt,156.0,91,98,2019-11-24,1.05,5,180,0,NA,1.05
608,17952482,#101 Boston New heating AC room 全樓禁烟讲国语,Dorchester,42.30752,-71.06525,Private room,50.0,30,33,2023-06-21,0.35,5,269,0,NA,0.35
609,17962385,"Heart of Boston- Large Studio, private entrance",South End,42.34417361700382,-71.07598677488207,Entire home/apt,184.68,3,78,2024-09-02,0.86,1,0,11,STR-446061,0.86
610,17969508,Renovated House Large Bay Windows Near Orange Line,Roxbury,42.31343,-71.09345,Private room,39.0,150,0,NA,1.79,31,365,0,NA,1.79
611,17974950,"★ Sunny, Spacious & Modern ★ Cleaned & Sanitized!",East Boston,42.37642,-71.03784,Private room,54.0,1,826,2024-12-10,8.89,8,362,94,STR-400320,8.89
612,17994861,South End 2 Bed with Parking x 2,South End,42.34218,-71.079,Entire home/apt,184.68,91,1,2017-05-28,0.01,1,0,0,NA,0.01
613,18023901,C_Large room easy commute to Boston Downtown.,Dorchester,42.32116317572481,-71.05723853260125,Private room,66.0,1,132,2024-11-23,1.73,13,176,41,STR-484164,1.73
614,18055117,Boston Strong,Dorchester,42.30403,-71.07564,Private room,36.0,91,2,2019-09-01,0.02,1,179,0,NA,0.02
615,18070939,The Pulse of Boston – Newbury St Right Outside!,Back Bay,42.34981,-71.08263,Entire home/apt,127.0,29,301,2023-11-09,3.23,88,261,0,STR-445405,3.23
616,18159981,Sunny Boston Apartment,Dorchester,42.28897,-71.06613,Entire home/apt,165.0,91,76,2024-07-14,0.82,2,365,2,NA,0.82
617,18170647,"Steps to public transport, Boston Coll, Roof Deck",Brighton,42.34133,-71.14605,Entire home/apt,155.0,30,4,2023-01-03,0.05,40,314,0,Exempt: This listing is a unit used for furnished institutional or business stays,0.05
618,18199963,“The Tower Room” at The Perthshire House.,Brighton,42.35395,-71.16776,Private room,89.0,1,201,2024-12-05,2.19,6,355,25,STR-453972,2.19
619,18220200,Near Orange Line Renovated Clean AC Easy Parking,Roxbury,42.31337,-71.09339,Private room,39.0,120,1,2017-09-01,0.01,31,365,0,NA,0.01
620,18240259,"Cozy, comfortable, and convenient.",Jamaica Plain,42.3196,-71.1044,Private room,184.68,91,12,2017-06-01,0.13,1,0,0,NA,0.13
621,18290558,★ Spacious & Modern ★ Professionally Sanitized ★,East Boston,42.3748,-71.03803,Private room,54.0,1,917,2024-12-15,9.87,8,363,86,STR-400320,9.87
622,18305618,"Boston’s Luxury Cellar Apartment, Comfy & Cozy",Hyde Park,42.2353,-71.12879,Entire home/apt,108.0,29,144,2024-12-15,4.29,1,333,32,STR-523303,4.29
623,18342681,"★ Modern, Cozy & Convenient ★ Close to Downtown!",East Boston,42.37441,-71.03809,Private room,54.0,1,729,2024-11-30,7.84,8,365,82,STR-400320,7.84
624,18342707,★Clean | Cozy Bedroom - Close to Subway & Airport★,East Boston,42.37612,-71.03807,Private room,54.0,1,764,2024-12-06,8.22,8,363,90,STR-400320,8.22
625,18354570,Newly Remodeled Studio in Back Bay - River View,Back Bay,42.35318,-71.07904,Entire home/apt,150.0,30,143,2024-10-01,1.54,1,179,3,STR-398563,1.54
626,18368646,"M&R - Private Bdrm Living Room, Bathroom & Parking",Dorchester,42.29189,-71.0574,Private room,72.0,29,105,2024-07-27,1.13,3,264,1,STR-397983,1.13
627,18396209,FLEXIBLE LEASES Downtown 4 Beds  2 Bath Boston,Downtown,42.35553,-71.05674,Entire home/apt,184.68,91,150,2019-12-08,1.63,1,0,0,NA,1.63
628,18526885,"Spacious, stylish, modern apartment on Orange Line",Roxbury,42.31737,-71.09498,Private room,50.0,90,17,2024-10-31,0.18,2,362,2,Exempt: This listing is a unit used for furnished institutional or business stays,0.18
629,18568481,Flats on D. Great Place to have fun.,South Boston Waterfront,42.34534,-71.04232,Entire home/apt,184.68,91,0,NA,1.79,1,0,0,NA,1.79
